x0000,y0000
3.84e-05,94958,
3.845e-05,95106,
3.85e-05,95344,
3.855e-05,95381,
3.86e-05,95544,
3.865e-05,95324,
3.87e-05,95775,
3.875e-05,95642,
3.88e-05,96010,
3.885e-05,95950,
3.89e-05,95566,
3.895e-05,95739,
3.9e-05,95536,
3.905e-05,95902,
3.91e-05,95921,
3.915e-05,95259,
3.92e-05,96303,
3.925e-05,95618,
3.93e-05,96263,
3.935e-05,95927,
3.94e-05,96263,
3.945e-05,96586,
3.95e-05,96114,
3.955e-05,96177,
3.96e-05,95966,
3.965e-05,95551,
3.97e-05,96860,
3.975e-05,96353,
3.98e-05,96483,
3.985e-05,96385,
3.99e-05,96769,
3.995e-05,96334,
4e-05,96129,
4.005e-05,96361,
4.01e-05,96223,
4.015e-05,96064,
4.02e-05,96432,
4.025e-05,96458,
4.03e-05,96698,
4.035e-05,95898,
4.04e-05,96758,
4.045e-05,96209,
4.05e-05,96783,
4.055e-05,97048,
4.06e-05,96560,
4.065e-05,96756,
4.07e-05,96885,
4.075e-05,96949,
4.08e-05,96124,
4.085e-05,96975,
4.09e-05,96245,
4.095e-05,96440,
4.1e-05,96981,
4.105e-05,96433,
4.11e-05,97121,
4.115e-05,96290,
4.12e-05,96715,
4.125e-05,96399,
4.13e-05,96966,
4.135e-05,96442,
4.14e-05,96973,
4.145e-05,96575,
4.15e-05,96894,
4.155e-05,96448,
4.16e-05,96835,
4.165e-05,96285,
4.17e-05,96720,
4.175e-05,96655,
4.18e-05,97120,
4.185e-05,96935,
4.19e-05,96614,
4.195e-05,96777,
4.2e-05,96673,
4.205e-05,96041,
4.21e-05,93553,
4.215e-05,28952,
4.22e-05,2193,
4.225e-05,533,
4.23e-05,394,
4.235e-05,369,
4.24e-05,2520,
4.245e-05,60318,
4.25e-05,98055,
4.255e-05,99706,
4.26e-05,98192,
4.265e-05,97119,
4.27e-05,98047,
4.275e-05,96904,
4.28e-05,96784,
4.285e-05,96917,
4.29e-05,96279,
4.295e-05,95542,
4.3e-05,95338,
4.305e-05,94596,
4.31e-05,96162,
4.315e-05,94649,
4.32e-05,94910,
4.325e-05,94938,
4.33e-05,94513,
4.335e-05,94415,
4.34e-05,94568,
4.345e-05,94700,
4.35e-05,95301,
4.355e-05,95067,
4.36e-05,95529,
4.365e-05,95521,
4.37e-05,95307,
4.375e-05,95464,
4.38e-05,95865,
4.385e-05,95887,
4.39e-05,95933,
4.395e-05,95928,
4.4e-05,95404,
4.405e-05,95616,
4.41e-05,96132,
4.415e-05,95951,
4.42e-05,96125,
4.425e-05,96136,
4.43e-05,95803,
4.435e-05,96098,
4.44e-05,95887,
4.445e-05,96082,
4.45e-05,96340,
4.455e-05,95930,
4.46e-05,96554,
4.465e-05,96497,
4.47e-05,96100,
4.475e-05,95802,
4.48e-05,96618,
4.485e-05,96611,
4.49e-05,96578,
4.495e-05,95930,
4.5e-05,97150,
4.505e-05,96384,
4.51e-05,96159,
4.515e-05,96236,
4.52e-05,96292,
4.525e-05,96659,
4.53e-05,96412,
4.535e-05,96318,
4.54e-05,96525,
4.545e-05,96115,
4.55e-05,95869,
4.555e-05,96405,
4.56e-05,97011,
4.565e-05,96209,
4.57e-05,96411,
4.575e-05,96325,
4.58e-05,96473,
4.585e-05,96475,
4.59e-05,96839,
4.595e-05,96701,
4.6e-05,96420,
4.605e-05,96934,
4.61e-05,96923,
4.615e-05,96548,
4.62e-05,96808,
4.625e-05,97121,
4.63e-05,96916,
4.635e-05,96758,
4.64e-05,96878,
4.645e-05,96740,
4.65e-05,96385,
4.655e-05,96879,
4.66e-05,96997,
4.665e-05,96628,
4.67e-05,96957,
4.675e-05,96781,
4.68e-05,96594,
4.685e-05,96932,
4.69e-05,97205,
4.695e-05,96608,
4.7e-05,96608,
4.705e-05,96581,
4.71e-05,96604,
4.715e-05,97465,
4.72e-05,96861,
4.725e-05,96520,
4.73e-05,97469,
4.735e-05,97058,
4.74e-05,93275,
4.745e-05,28976,
4.75e-05,2212,
4.755e-05,496,
4.76e-05,339,
4.765e-05,307,
4.77e-05,293,
4.775e-05,47054,
4.78e-05,94701,
4.785e-05,100528,
4.79e-05,98963,
4.795e-05,98589,
4.8e-05,98256,
4.805e-05,97558,
4.81e-05,97516,
4.815e-05,96921,
4.82e-05,96999,
4.825e-05,96509,
4.83e-05,95801,
4.835e-05,96044,
4.84e-05,95860,
4.845e-05,95344,
4.85e-05,94940,
4.855e-05,95220,
4.86e-05,94535,
4.865e-05,94641,
4.87e-05,95484,
4.875e-05,95356,
4.88e-05,95510,
4.885e-05,95112,
4.89e-05,96186,
4.895e-05,95302,
4.9e-05,95627,
4.905e-05,95686,
4.91e-05,95504,
4.915e-05,95780,
4.92e-05,96034,
4.925e-05,96090,
4.93e-05,95587,
4.935e-05,96108,
4.94e-05,95797,
4.945e-05,95951,
4.95e-05,96032,
4.955e-05,95922,
4.96e-05,96781,
4.965e-05,95867,
4.97e-05,96753,
4.975e-05,96291,
4.98e-05,95810,
4.985e-05,96309,
4.99e-05,96620,
4.995e-05,96011,
5e-05,95900,
5.005e-05,96549,
5.01e-05,96536,
5.015e-05,95923,
