x0000,y0000
6.23e-05,4120,
6.24e-05,4046,
6.25e-05,4253,
6.26e-05,4105,
6.27e-05,4074,
6.28e-05,3920,
6.29e-05,4064,
6.3e-05,4079,
6.31e-05,4156,
6.32e-05,4158,
6.33e-05,4103,
6.34e-05,4113,
6.35e-05,4174,
6.36e-05,4020,
6.37e-05,4125,
6.38e-05,4117,
6.39e-05,4160,
6.4e-05,4100,
6.41e-05,4139,
6.42e-05,4150,
6.43e-05,4135,
6.44e-05,4084,
6.45e-05,4007,
6.46e-05,3940,
6.47e-05,4080,
6.48e-05,3929,
6.49e-05,4127,
6.5e-05,4146,
6.51e-05,3972,
6.52e-05,4001,
6.53e-05,4195,
6.54e-05,4146,
6.55e-05,4107,
6.56e-05,3983,
6.57e-05,4167,
6.58e-05,4250,
6.59e-05,4198,
6.6e-05,4106,
6.61e-05,4088,
6.62e-05,3961,
6.63e-05,4151,
6.64e-05,4128,
6.65e-05,4082,
6.66e-05,4054,
6.67e-05,4047,
6.68e-05,4109,
6.69e-05,4109,
6.7e-05,4057,
6.71e-05,4157,
6.72e-05,4115,
6.73e-05,4062,
6.74e-05,4048,
6.75e-05,4140,
6.76e-05,4072,
6.77e-05,3998,
6.78e-05,4158,
6.79e-05,4075,
6.8e-05,4031,
6.81e-05,4050,
6.82e-05,4035,
6.83e-05,4131,
6.84e-05,4099,
6.85e-05,4053,
6.86e-05,4043,
6.87e-05,4085,
6.88e-05,4080,
6.89e-05,4150,
6.9e-05,4020,
6.91e-05,4056,
6.92e-05,4174,
6.93e-05,4143,
6.94e-05,4101,
6.95e-05,3989,
6.96e-05,4105,
6.97e-05,4075,
6.98e-05,4052,
6.99e-05,4095,
7e-05,4123,
7.01e-05,4137,
7.02e-05,4022,
7.03e-05,4089,
7.04e-05,4193,
7.05e-05,3998,
7.06e-05,4077,
7.07e-05,4083,
7.08e-05,4122,
7.09e-05,4090,
7.1e-05,4109,
7.11e-05,4088,
7.12e-05,4143,
7.13e-05,4075,
7.14e-05,4132,
7.15e-05,3964,
7.16e-05,4016,
7.17e-05,4096,
7.18e-05,4123,
7.19e-05,4190,
7.2e-05,3872,
7.21e-05,4074,
7.22e-05,4028,
